SINGLE;GREEDY_15;GREEDY_30
93.6344;51.3476;58.3727
70.4979;67.8148;51.4606
90.6567;60.865;56.1975
72.3068;50.7606;56.0012
77.9532;53.0621;56.6409
130.041;52.7742;55.3412
154.45;56.2979;53.3732
193.544;66.6994;68.5164
87.044;55.505;59.9105
66.0329;66.0225;52.9673
65.9826;53.553;50.5545
74.6125;62.9726;56.9612
60.6284;61.6545;50.8013
79.8476;69.91;56.5358
71.6616;56.097;66.6688
61.5866;57.1443;58.8138
65.1602;59.0597;61.3731
68.9415;52.6772;69.4322
70.7042;52.4667;55.6521
85.1358;53.9138;65.5194
181.47;56.0695;60.2968
55.3073;58.2426;53.733
90.1485;56.0769;50.9982
67.3573;80.4916;63.2529
61.8294;74.3498;58.6805
71.9268;58.7149;64.9112
70.3137;57.106;72.6287
70.6995;70.2064;52.6073
65.9746;55.3952;58.2284
70.8958;50.3241;57.4327
96.1414;57.3987;53.7972
68.6064;54.6501;49.3445
74.9643;60.0585;55.4593
71.0309;56.1151;61.6226
60.4078;50.5713;53.0184
261.433;57.2531;64.9003
70.2326;60.4869;54.0224
73.1501;57.25;61.5058
75.1627;51.2141;59.3821
70.6223;55.5825;56.1257
134.024;51.5741;54.5608
78.9329;60.2594;55.8189
112.165;50.8763;54.33
77.8228;56.7328;67.2665
73.6641;55.9237;56.8569
72.7979;50.9057;59.5722
323.877;57.0797;62.1909
54.1492;56.7297;55.3072
197.05;60.6416;56.1621
70.5802;52.5789;57.2932
