SINGLE;GREEDY_15;GREEDY_30
69.101;69.0892;70.0834
69.5385;69.6303;71.046
87.6285;71.6072;70.4404
68.9003;69.7662;70.5809
107.676;73.9026;74.2109
69.0573;69.5901;69.9873
69.0252;69.2667;70.9526
69.3375;70.252;71.574
84.0402;70.39;70.6271
68.846;68.8485;69.3673
69.1382;69.2246;70.0402
112.203;78.7162;69.7762
95.549;72.7124;71.9152
69.2059;69.3196;70.4198
68.9365;69.1138;70.2777
68.9469;69.1276;69.8578
69.1234;69.3376;70.3635
103.313;72.5899;70.3516
97.0031;81.2555;73.3663
76.6724;70.9091;70.3709
68.9549;69.0001;71.6974
69.0048;68.8555;69.8573
69.0389;69.1222;71.3593
69.1162;69.5123;72.4892
69.055;70.4712;71.6217
68.9945;69.1694;70.3471
68.9826;69.1947;69.6747
83.1115;75.0936;72.1745
68.9903;69.13;69.7861
79.0468;70.201;70.3577
68.7686;68.8168;69.6589
98.6521;70.3117;73.3439
69.1266;69.7622;69.8989
69.0454;69.3953;71.1895
69.1394;69.0959;69.5117
69.4003;69.7002;70.0779
87.817;70.1626;70.41
84.7304;70.9856;71.1285
69.1047;69.1553;69.997
69.066;70.2118;70.5489
120.392;73.7458;69.5419
69.1428;69.1894;70.0668
69.1435;69.0759;69.4899
69.1998;69.1716;69.3761
69.1713;69.1317;69.3647
68.9211;69.1505;69.1826
69.3143;69.9487;73.0086
94.1165;69.939;70.3893
69.1657;69.2336;71.0318
69.0992;69.2959;69.8544
