SINGLE;GREEDY_15;GREEDY_30
51.0835;51.385;51.4963
103.775;84.2359;75.9418
53.9769;54.2166;54.3894
233.977;111.424;81.703
52.9094;53.5374;75.0244
51.2421;52.0391;66.5726
56.2885;56.7556;68.4836
52.2983;53.8844;62.5266
1668.31;182.922;155.625
105.983;87.6549;107.642
258.329;147.902;63.2132
55.7977;60.3666;66.8186
55.4323;56.6098;60.8174
51.8729;52.6418;54.1101
118.179;133.913;90.7336
51.2266;51.3279;53.9083
53.5157;55.6964;55.3881
217.487;121.664;55.9708
118.28;55.2852;52.6941
53.5777;56.6231;56.6123
176.963;59.806;56.7793
194.5;94.2768;53.9579
51.8823;52.0791;54.0505
51.9414;51.8456;52.5434
163.159;97.651;60.6652
53.449;55.2473;72.0839
52.1799;53.2824;55.2455
185.938;109.128;59.2307
291.085;59.1854;59.5892
51.4647;52.1826;57.9055
398.546;178.285;59.4584
54.0894;55.1696;58.7518
116.328;118.197;55.7613
150.338;61.9008;95.5234
116.878;60.6532;70.7161
53.1198;52.762;52.1358
55.5326;55.801;68.2605
158.612;206.933;125.239
54.0433;54.4429;55.9771
672.552;167.834;195.43
50.7754;51.1649;52.7335
93.9695;58.6227;96.6225
52.5869;54.5826;54.9427
269.524;74.9894;79.2743
477.96;115.197;75.8543
52.0126;51.9446;53.1899
149.707;92.0173;59.3678
167.135;78.0267;53.6184
50.8204;50.5735;55.5124
283.458;107.023;103.414
