SINGLE;GREEDY_15;GREEDY_30
52.8043;52.8053;53.3372
51.009;51.1559;52.8715
51.6437;51.9065;52.3082
51.6564;51.7812;52.4988
51.4168;51.5131;51.9323
52.379;52.2657;52.363
51.7406;52.0851;52.8082
51.4571;51.5065;52.0799
51.914;52.3573;54.0633
50.9985;51.1576;51.1575
50.5439;50.5465;50.7767
51.8825;51.8129;51.8611
50.8462;51.3167;51.4887
51.0075;51.323;52.1806
52.304;52.3044;54.7572
51.3101;51.4144;51.3559
51.0578;51.0131;51.5166
53.3645;53.3634;56.1581
50.8306;50.8857;51.4209
53.9031;55.4538;58.1422
50.9321;50.9314;51.1053
51.898;52.1875;52.8682
52.6812;53.2849;53.7579
51.7706;52.2604;53.217
50.955;51.2519;51.6866
52.1896;52.4933;53.4602
51.6437;51.8767;52.8926
51.679;52.2608;52.431
53.7775;53.7734;54.8582
51.0028;51.0184;51.8459
52.5944;52.5997;53.035
50.9545;50.9591;51.0872
52.8941;53.2703;57.1295
50.484;50.4845;50.6695
50.8757;51.0162;51.0195
51.8883;52.5783;53.3535
51.8327;51.8327;52.1202
52.1572;52.1645;52.6808
51.4319;51.5593;52.1068
50.9168;50.9118;51.1058
51.8834;51.9436;52.7374
52.2924;52.6895;53.8513
50.8824;50.9945;51.7686
51.9603;51.9519;51.7844
53.4896;53.4926;55.612
50.8084;50.8248;50.8555
51.4726;51.477;52.0663
51.0101;50.9058;51.4859
51.0153;51.1166;52.8466
52.3729;52.4103;52.5663
