ALL;SMALL;MAX_IMV;K_MEDOIDS;AFFINITY;MAX_IMV_OUT;AFFINITY_NORM
75.2749;95.7001;80.0332;78.4137;87.0328;80.0332;86.2702
66.8924;69.1872;64.4095;65.5651;65.685;64.1269;65.685
82.88;90.5774;92.1872;96.7247;96.7247;92.9418;96.7247
72.2998;79.5825;80.1885;76.0982;72.8392;78.9883;70.9264
70.1836;70.6867;77.2118;76.2446;75.5885;76.0955;75.5885
70.4903;71.5676;76.0345;74.6167;77.5242;76.0345;74.4579
71.2423;81.7385;74.2128;72.4451;71.68;74.5881;71.68
68.0764;67.9714;70.8426;69.4766;71.3528;69.1845;70.1515
69.9935;70.0888;69.6852;68.4723;69.3065;71.2992;69.9717
64.1713;66.9627;61.6266;61.4627;61.8852;68.9668;61.5545
